id,compound_id,food_id,orig_source_id,orig_content,orig_unit,preparation_type,standard_content
221cb86a-92a8-11ee-8750-0242ac1c000c,574,1bea188e-92a8-11ee-8750-0242ac1c000c,41,0.0,mg/100g,dried or powder,0.0
221cca9e-92a8-11ee-8750-0242ac1c000c,474,1bea188e-92a8-11ee-8750-0242ac1c000c,238,0.0,mg/100g,dried or powder,0.0
221cdc28-92a8-11ee-8750-0242ac1c000c,753,1bc555a8-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,,0.0
221cee84-92a8-11ee-8750-0242ac1c000c,565,1bc555a8-92a8-11ee-8750-0242ac1c000c,26,0.0,α-TE,,0.0
221cfff0-92a8-11ee-8750-0242ac1c000c,565,1bc555a8-92a8-11ee-8750-0242ac1c000c,27,0.0,mg/100g,,0.0
221d11fc-92a8-11ee-8750-0242ac1c000c,574,1bc555a8-92a8-11ee-8750-0242ac1c000c,41,0.0,mg/100g,,0.0
221d2426-92a8-11ee-8750-0242ac1c000c,753,1bc555a8-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,,0.0
221d3682-92a8-11ee-8750-0242ac1c000c,565,1bc555a8-92a8-11ee-8750-0242ac1c000c,26,0.0,α-TE,,0.0
221d48c0-92a8-11ee-8750-0242ac1c000c,565,1bc555a8-92a8-11ee-8750-0242ac1c000c,27,0.0,mg/100g,,0.0
221d5a0e-92a8-11ee-8750-0242ac1c000c,574,1bc555a8-92a8-11ee-8750-0242ac1c000c,41,0.0,mg/100g,,0.0
221d6d8c-92a8-11ee-8750-0242ac1c000c,753,1bc555a8-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,raw,0.0
221d7ef8-92a8-11ee-8750-0242ac1c000c,565,1bc555a8-92a8-11ee-8750-0242ac1c000c,26,0.0,α-TE,raw,0.0
221d90fa-92a8-11ee-8750-0242ac1c000c,565,1bc555a8-92a8-11ee-8750-0242ac1c000c,27,0.0,mg/100g,raw,0.0
221da252-92a8-11ee-8750-0242ac1c000c,574,1bc555a8-92a8-11ee-8750-0242ac1c000c,41,0.0,mg/100g,raw,0.0
221db54e-92a8-11ee-8750-0242ac1c000c,753,1ba6c2d2-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,raw,0.0
221dc6b0-92a8-11ee-8750-0242ac1c000c,565,1ba6c2d2-92a8-11ee-8750-0242ac1c000c,26,0.55,α-TE,raw,0.55
221dd8bc-92a8-11ee-8750-0242ac1c000c,565,1ba6c2d2-92a8-11ee-8750-0242ac1c000c,27,0.55,mg/100g,raw,0.55
221de9ec-92a8-11ee-8750-0242ac1c000c,574,1ba6c2d2-92a8-11ee-8750-0242ac1c000c,41,0.299,mg/100g,raw,0.299
